Fecha,ODT,Categoría,Inspectores,Dirección
"0/12/2024, 6:11",000154,,"accardi, miranda, paliza",direc.pje.tagle 2939
"0/12/2024, 6:18",000155,,"villafane, lencina, buscando",direc.maipu 50
"2/1/2025, 6:00",000158,,"flores,lencina",direc.congreso esq.lavalle 598
"2/1/2025, 6:07",000159,,"miranda, viera,soria",direc. buenos as. 501
"2/1/2025, 6:15",000160,,,direc.bolivar esq.alem
"2/1/2025, 6:31",000157,,"correa,cancino,martinez",direc.av.belgrano 2795
"3/1/2025, 1:35",000161,,"segovia,diaz",direc.av.benjamin araoz 52
"3/1/2025, 1:38",000162,,"cancino,jerez,martinez",direc. santiago 920
"6/1/2025, 2:09",000163,,"miranda, viera,jerez",direc. entre rios 660
"6/1/2025, 2:13",000164,,"nieva, carrizo,soria",direc.entre rios esq. lavalle s/o
"6/1/2025, 2:15",000165,,"cancino,correa, martinez",direc. entre rios esq.lamadrid s/o
"6/1/2025, 2:20",000166,,"flores, lencina",direc. entre rios 489
"6/1/2025, 2:24",000167,,"segovia,diaz",entre rios 1495 carniceria
"7/1/2025, 8:10",,,,
"8/1/2025, 2:52",000169,,"lencina,flores,nieva",direc. 9 d julio 2325
"8/1/2025, 3:00",000170,,"miranda,viera,jerez",direc.corrientes 642
"8/1/2025, 3:06",000171,,"correa,carrizo,martinez",rivadavia 1526
"8/1/2025, 3:12",000172,,"soria,cancino",direc.rivadavia 1594
"8/1/2025, 3:19",000173,,"segovia,diaz",direc.rivadavia 1952
"9/1/2025, 6:46",000174,,,sirec.av.america 1734
"9/1/2025, 6:50",000175,direc.catamarca 330,"miranda,viera,jerez",24 d septiembre 886
"0/1/2025, 6:08",000176,,"miranda, martinez,rueda",direc.av.salta desde 700 al 800
"0/1/2025, 6:13",000177,,"lencina,flores, nieva",direc.martin berho 148
"0/1/2025, 6:18",000178,,"jerez, cancino, carrizo,soria",direc.av.alem 1796 supermercado expte.dr.arroyo
"3/1/2025, 4:36",000179,,"lencina,flores,rueda",direc. av.colon 1413
"3/1/2025, 4:41",000180,,,direc.maipu desde 500 al 600
"3/1/2025, 4:52",000181,,"viera, martinez",
"4/1/2025, 8:42",000182,,"lencina,flores,rueda",av.avellaneda 81
"4/1/2025, 8:47",000184,,"nieva,cancino",direc.congreso 70/72
"4/1/2025, 8:49",000185,,"soria,martinez",direc.9 d julio 2000
"5/1/2025, 7:37",000183,,"miranda,viera,jerez",direc.ecuador esq.bulnes s/e
"5/1/2025, 4:55",000186,,"lencina, flores,martinez",direc.25 de mayo 265
"5/1/2025, 5:07",000187,,"miranda, jerez",direc.25 de mayo desde 20 al 50 drugstore y heladeria
"5/1/2025, 5:16",000188,,"cancino, nieva",direc.25 de mayo 170 al 180 mondo
"7/1/2025, 7:38",000190,,"soria, viera",direc. av.kirchner 2801
"7/1/2025, 7:48",000191,direc.av.colon 421 denuncia,"miranda,jerez,flores",prospero mena 548 expte.arroyo
"7/1/2025, 8:00",000192,,"nieva,cancino,rueda,martinez",direc. santiago 955 p.b expte arroyo
"8/1/2025, 9:25",000193,,"miranda,jerez,flores",direc.9 d julio 276
"8/1/2025, 9:28",000194,,"soria,martinez,vieradirec.9 d julio 368",
"8/1/2025, 9:31",000195,,"nieva, cancino,rueda",direc.9 d julio 72
"0/1/2025, 2:42",000197,,"nieva,cancino,martinez",direc.9 de julio 53 (drugstore)
"0/1/2025, 2:44",000198,,"miranda, flores, biscardi",direc.av.roca 1207 expte.15619/24
"0/1/2025, 9:19",000199,,"esquivel, diaz",9 d julio 26 (pizzeria)
"1/1/2025, 5:24",000200,,"nieva,martinez,cancino",direc.9 de julio 238 (bar)
"1/1/2025, 5:30",000201,,"miranda,jerez,soria",direc.9 de julio 108 (polleria)
"2/1/2025, 10:03",000203,,"nieva,cancino,soria",direc.9 de julio esq. crisostomo n/e carniceria
"2/1/2025, 10:08",000204,,"miranda,jerez,flores",direc.25 d mayo d 0 al 100 pancherias
"3/1/2025, 6:09",000205,,"avila, cancino, nieva",direc.9 de julio esq.san lorenzo n/e (drugstore)
"3/1/2025, 6:29",,,"soria, pentucci",direc.9 de julio esq.piedras n/e bar cafeteria
"3/1/2025, 6:34",000208,,"miranda, jerez, flores",direc. 9 julio 379 (carniceria)
"4/1/2025, 3:36",000209,,"avila, nieva, cancino",direc.munecas 381
"4/1/2025, 3:45",000210,,"miranda,jerez,flores",direc.9 d julio 849
"4/1/2025, 3:48",000211,,"soria, pentucci",direc.9 julio y av roca drugstore
"7/1/2025, 7:46",000212,,"miranda, saavedra,flores,cabezas",direc.laprida 896
"7/1/2025, 7:47",000213,,,direc. laprida 824
"7/1/2025, 7:51",000214,,"nieva,jerez,soria",direc.laprida 741
"7/1/2025, 7:51",000215,,,direc. sta.fe 396 esq.laprida.
